customer_id,account_id,call_successful,call_unsuccessful,ptp_broken,ptp_kept,month_in_areas,total_arrears_amount,total_outstanding_amount
6865846,31,0,3,0,0,0,0.0,119034.51
524426,57,0,1,0,0,0,0.0,58096.16
7620135,75,0,1,0,0,0,0.0,24302.24
3691958,103,1,0,0,0,6,3961.22,33334.16
5855420,113,3,6,0,0,2,715.22,985.22
1779841,187,0,10,0,0,1,710.54,18395.4
3579979,204,1,13,1,0,1,1437.64,82597.24
2882167,208,0,5,0,0,0,0.0,14885.22
23148,277,1,1,0,1,0,0.0,65162.8
8442045,479,5,8,5,0,0,470.01,30373.29
4988476,483,0,4,0,0,0,0.0,54726.36
1829004,517,3,14,1,0,2,6312.49,150964.2
4502102,573,0,1,0,0,0,11.71,191058.68
8279460,582,0,2,0,0,0,0.0,168367.93
3549255,602,1,3,0,1,0,0.0,40154.88
1922970,612,1,5,1,0,0,2.58,43413.49
7367343,638,4,9,1,1,1,2389.82,46452.45
8022435,679,1,2,1,0,0,0.0,81780.84
8102793,692,0,5,0,0,0,384.11,21135.52
3337146,695,2,7,0,1,0,0.0,12027.29
5710786,700,0,4,0,0,0,100.03,52587.07
4256470,701,6,5,4,1,0,2218.7,174282.67
1114486,737,0,1,0,0,0,0.0,9917.85
4736487,783,0,3,0,0,0,0.0,83617.52
4459663,820,1,5,0,0,0,1257.18,51774.83
6733341,847,0,12,0,0,0,172.89,8402.66
7384852,874,1,0,0,1,0,0.0,62716.98
4719818,875,0,1,0,0,0,0.0,127473.9
1345600,876,0,2,0,0,0,0.0,5480.26
4240261,882,1,0,0,1,0,0.0,51187.74
1417567,928,0,1,0,0,0,0.0,30131.9
1455142,974,0,2,0,0,0,1453.0,131212.75
8327199,998,5,3,2,1,0,0.0,181831.86
6659071,1014,0,2,0,0,0,45.16,34172.7
3834562,1026,0,1,0,0,0,0.0,185217.49
3276856,1033,1,1,0,0,0,561.17,21480.57
7628694,1052,1,1,0,0,0,0.0,115982.26
430977,1066,0,3,0,0,1,1496.18,54071.99
7266050,1084,2,0,2,0,0,0.0,17136.03
8000365,1140,0,1,0,0,0,0.0,3830.84
