account_id,month_in_areas,total_arrears_amount,ptp_broken,ptp_kept,call_successful,call_unsuccessful,score,score %,score_id,behavior
31,0,0.0,0,0,0,3,210.0,40.0,1.0,Confident
57,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
75,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
103,6,3961.22,0,0,1,0,195.0,25.0,3.0,Non Confident
113,2,715.22,0,0,3,6,210.0,40.0,1.0,Confident
187,1,710.54,0,0,0,10,210.0,40.0,1.0,Confident
204,1,1437.64,1,0,1,13,210.0,40.0,1.0,Confident
208,0,0.0,0,0,0,5,210.0,40.0,1.0,Confident
277,0,0.0,0,1,1,1,210.0,40.0,1.0,Confident
479,0,470.01,5,0,5,8,220.0,40.0,1.0,Confident
483,0,0.0,0,0,0,4,210.0,40.0,1.0,Confident
517,2,6312.49,1,0,3,14,210.0,40.0,1.0,Confident
573,0,11.71,0,0,0,1,210.0,40.0,1.0,Confident
582,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
602,0,0.0,0,1,1,3,210.0,40.0,1.0,Confident
612,0,2.58,1,0,1,5,210.0,40.0,1.0,Confident
638,1,2389.82,1,1,4,9,210.0,40.0,1.0,Confident
679,0,0.0,1,0,1,2,210.0,40.0,1.0,Confident
692,0,384.11,0,0,0,5,210.0,40.0,1.0,Confident
695,0,0.0,0,1,2,7,210.0,40.0,1.0,Confident
700,0,100.03,0,0,0,4,210.0,40.0,1.0,Confident
701,0,2218.7,4,1,6,5,220.0,40.0,1.0,Confident
737,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
783,0,0.0,0,0,0,3,210.0,40.0,1.0,Confident
820,0,1257.18,0,0,1,5,210.0,40.0,1.0,Confident
847,0,172.89,0,0,0,12,210.0,40.0,1.0,Confident
874,0,0.0,0,1,1,0,210.0,40.0,1.0,Confident
875,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
876,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
882,0,0.0,0,1,1,0,210.0,40.0,1.0,Confident
928,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
974,0,1453.0,0,0,0,2,210.0,40.0,1.0,Confident
998,0,0.0,2,1,5,3,220.0,40.0,1.0,Confident
1014,0,45.16,0,0,0,2,210.0,40.0,1.0,Confident
1026,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1033,0,561.17,0,0,1,1,210.0,40.0,1.0,Confident
1052,0,0.0,0,0,1,1,210.0,40.0,1.0,Confident
1066,1,1496.18,0,0,0,3,210.0,40.0,1.0,Confident
1084,0,0.0,2,0,2,0,210.0,40.0,1.0,Confident
1140,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1156,0,76.71,0,0,1,0,210.0,40.0,1.0,Confident
1173,0,0.0,0,2,2,1,220.0,40.0,1.0,Confident
1187,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1189,5,5820.78,0,0,1,1,205.0,35.0,2.0,Potential Confident
1196,1,3432.86,0,0,0,8,210.0,40.0,1.0,Confident
1218,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1259,3,8021.53,0,0,1,0,205.0,35.0,2.0,Potential Confident
1269,0,0.0,2,0,2,2,210.0,40.0,1.0,Confident
1274,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1276,0,0.88,0,0,0,1,210.0,40.0,1.0,Confident
1289,0,147.47,1,0,1,4,210.0,40.0,1.0,Confident
1298,0,0.82,0,0,0,5,210.0,40.0,1.0,Confident
1324,0,0.0,0,0,0,8,210.0,40.0,1.0,Confident
1351,0,0.0,0,0,0,8,210.0,40.0,1.0,Confident
1360,0,266.63,2,0,3,6,210.0,40.0,1.0,Confident
1380,0,0.0,1,0,1,10,210.0,40.0,1.0,Confident
1395,0,0.0,1,0,1,4,210.0,40.0,1.0,Confident
1453,0,620.1,0,0,0,12,210.0,40.0,1.0,Confident
1455,0,0.0,1,0,1,8,210.0,40.0,1.0,Confident
1512,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1526,0,0.0,0,0,0,4,210.0,40.0,1.0,Confident
1530,0,571.25,0,0,0,1,210.0,40.0,1.0,Confident
1533,0,0.0,0,0,0,3,210.0,40.0,1.0,Confident
1546,0,451.57,0,0,0,3,210.0,40.0,1.0,Confident
1586,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1595,0,0.0,1,0,1,1,210.0,40.0,1.0,Confident
1610,0,0.0,1,0,1,0,210.0,40.0,1.0,Confident
1655,0,0.0,0,0,0,7,210.0,40.0,1.0,Confident
1663,0,0.61,0,0,0,3,210.0,40.0,1.0,Confident
1668,0,0.0,0,0,0,4,210.0,40.0,1.0,Confident
1695,0,0.0,0,1,1,4,210.0,40.0,1.0,Confident
1699,1,1354.84,4,0,8,5,220.0,40.0,1.0,Confident
1738,0,0.0,1,1,2,3,210.0,40.0,1.0,Confident
1765,0,0.0,2,0,4,4,210.0,40.0,1.0,Confident
1771,0,0.0,1,0,1,3,210.0,40.0,1.0,Confident
1813,0,0.0,0,0,1,1,210.0,40.0,1.0,Confident
1863,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1879,0,64.79,3,0,3,15,210.0,40.0,1.0,Confident
